s_no,month,asset_no,country,portfolio,remarks
1,2025,All Sites,All Countries,All Portfolio,"Japan Minamata: 
1. On 26th Jan, Fiber Optic Cable failure occurred from PCS5 & PCS6 to GSS. Due to this, Inv-05 & 06 were in off condition from 26th Jan to 04th Feb. Generation loss: 163 MWh and Revenue Loss $ 38,795. 

2. On 7th Feb 2025, PCS3 tripped due to low insulation resistance from 15:30 hrs to 17:48 Hrs. Gen Loss: 0.719 MWh. Revenue Loss: $ 174 . 

3. On 12th Feb 2025, PCS6 tripped due to low insulation resistance from 12:27 Hrs and 13:38 Hrs. Gen Loss: 0.388 MWh and Revenue Loss:  $ 93.53.

4. On 26th Feb, PCS1, PCS2, and PCS3, and on 27th Feb, PCS4, PCS5, and PCS6 were in software updating mode by the Sun grow team for 03:48 hours (average) for each inverter. After the software update, all the inverters came into operation mode. Generation Loss: 49.98 MWh and Revenue Loss: $ 12,054.

5. Curtailment Details: 
     a) Budgeted: 16.08% (2527 MWh)
     b) Actual: 18.06% (2839 MWh)
     c) Excess Curtailment: 1.99% (312 MWh)

6. Inverter failures due to low insulation resistance and other faults from Jan-25 to June-25: 781 MWh and Revenue Loss: $ 193,995. 

7. String failure loss due to typhoon damage. Gen Loss: 2516 MWh from Jan-25 to June-25. Revenue Loss: $ 624,979. 

Korea Blackwood: 

1. Asset No.15:  
a.  104.475 kWp capacity of faulty solar modules due to insulation failure, crack & Hotspot are removed to resume the inverters generation. Need to replace the solar modules to resume the generation.  Generation loss: 58 MWh and Revenue Loss: $ 4,473. 

b. Blackwood agreed to replace the damaged modules and vendor finalization is under progress. 

2. Asset No. 28: Due to BESS fire incident, 10 Nos of strings near BESS station are damaged. Need to rectify the same to resume the generation.  Gen Loss: 28 MWh and Revenue Loss:  $ 2,216. 

Korea Iceberg

1. From Feb 5 to 9, 2025, snowfall caused reduced generation and PR. Operations have now normalized as the snow has melted

2. On 9th, 23rd, 26th and 30th Mar 2025, As per KEPCO's requirement curtailment has been implemented at site. Gen Loss: 706 MWh and Revenue Loss: $ 40,327.

3. As per KEPCO instructions, Korea-iceberg plant curtailment implemented on 06th,13th,26th and 29th Apr 2025.  Gen Loss: -652 MWh and Revenue Loss: $ 37,807.

4. As per KEPCO instructions, Korea-iceberg plant curtailment implemented on 04th & 07th  May 2025.  Gen Loss: -464 MWh and Revenue Loss: $ 26,868.

5. May-25, Inverters are tripped due to Ground Fault, Instantaneous fault and No Grid etc., Gen Loss: 11 MWh and Revenue Loss: $ 614. 

6. June-25, Inverters are tripped due to Ground Fault and PDP Pro., Gen Loss: 5.75 MWh and Revenue Loss: $ 333.26.

Korea Sroof: 

1. Samyang Foods: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 

2, Sung jin: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 

Singapore:

As per client safety request, plant shutdown during maintenance activity in April-2025. Gen Loss: 7.3 MWh and Revenue Loss: $ 579. 

Taiwan:

a). Site Monitoring Website credential are received on 22nd April 2025. 
"
2,2025,JP-MINA,Japan ,JP Minamata,"1. On 26th Jan, Fiber Optic Cable failure occurred from PCS5 & PCS6 to GSS. Due to this, Inv-05 & 06 were in off condition from 26th Jan to 04th Feb. Generation loss: 163 MWh and Revenue Loss $ 38,795. 

2. On 7th Feb 2025, PCS3 tripped due to low insulation resistance from 15:30 hrs to 17:48 Hrs. Gen Loss: 0.719 MWh. Revenue Loss: $ 174 . 

3. On 12th Feb 2025, PCS6 tripped due to low insulation resistance from 12:27 Hrs and 13:38 Hrs. Gen Loss: 0.388 MWh and Revenue Loss:  $ 93.53.

4. On 26th Feb, PCS1, PCS2, and PCS3, and on 27th Feb, PCS4, PCS5, and PCS6 were in software updating mode by the Sun grow team for 03:48 hours (average) for each inverter. After the software update, all the inverters came into operation mode. Generation Loss: 49.98 MWh and Revenue Loss: $ 12,054.

5. Curtailment Details: 
     a) Budgeted: 16.08% (2527 MWh)
     b) Actual: 18.06% (2839 MWh)
     c) Excess Curtailment: 1.99% (312 MWh)

6. Inverter failures due to low insulation resistance and other faults from Jan-25 to June-25: 781 MWh and Revenue Loss: $ 193,995. 

7. String failure loss due to typhoon damage. Gen Loss: 2516 MWh from Jan-25 to June-25. Revenue Loss: $ 624,979. "
3,2025,KR_BW_02,Korea,Korea-Blackwood ,"1. Asset No.15:  
a.  104.475 kWp capacity of faulty solar modules due to insulation failure, crack & Hotspot are removed to resume the inverters generation. Need to replace the solar modules to resume the generation.  Generation loss: 58 MWh and Revenue Loss: $ 4,473. 

b. Blackwood agreed to replace the damaged modules and vendor finalization is under progress. 

2. Asset No. 28: Due to BESS fire incident, 10 Nos of strings near BESS station are damaged. Need to rectify the same to resume the generation.  Gen Loss: 28 MWh and Revenue Loss:  $ 2,216. 

3. Asset No.26: On 19th, 20th, 26th Feb 2025, As per KEPCO’s requirement curtailment implemented at site. Gen loss: -110.08 MWh & Revenue  Loss: $ 8,633 

4. Apr-25, Asset No.,12,13,16,19,21,23,24,26,28,30,31,34,39,41: As per KEPCO’s requirement curtailment implemented at site in Mar-25. Gen loss: 135.80 MWh & Revenue Loss: $ 10,496 . 

5. Apr-25, Asset No: 11,13,16,26,34,39,41 & 42: As per KEPCO requirement, 100% curtailment implemented at multiple time slots. Gen Loss: 46 MWh and Gen Loss: $ 3,588. 

6. Asset No: 5, Generation stopped from 20th Apr 13:34 hrs to 21st Apr 15:15 hrs due to system failure . Gen Loss: 6.3 MWh and Revenue Loss: $ 488.

7. May-25 , Asset No: 11,12,13,21,24,26,39,41 & 42: As per KEPCO requirement, 100% curtailment implemented at multiple time slots. Gen Loss: 174 MWh and Gen Loss: $ 3,588. 

8. May-25, Asset No: 36,31,4,5,6,9,11,14,19,20,21,30,35,2& 8 , string failure and inverter failure caused Gen Loss: 104.37 MWh and Revenue Loss: $ 8386.14

9. Asset No: 1, Site Name: Songpyeong TI Solar Power, 194.4 kWp , is removed from the list, as per the information received from PEK. 

10. June-25 , Asset No: 19: As per KEPCO requirement, Grid outage due to blaclout. Gen Loss: 11.89 MWh and Gen Loss: $932.69 . 

11. June-25, Asset No: 4,5,6,7,8,9,11,19,20,21,24,30 & 35, string failure and inverter failure caused Gen Loss:  43.81 MWh and Revenue Loss: $ 3560.01 ."
4,2025,KR_IB_49,Korea,Korea-Iceberg,"1. From Feb 5 to 9, 2025, snowfall caused reduced generation and PR. Operations have now normalized as the snow has melted

2. On 9th, 23rd, 26th and 30th Mar 2025, As per KEPCO's requirement curtailment has been implemented at site. Gen Loss: 706 MWh and Revenue Loss: $ 40,327.

3.From Feb 12 to 15, 2025 / During rainy and humid conditions, Insulation fault occurred in some cables of inverters P-3-1, P-3-2, and P-4-2 / Immediate repairs were completed .The capacity loss due to the Insulation fault is insignificant in comparison to the total 100MW site capacity

4. As per KEPCO instructions, Korea-iceberg plant curtailment implemented on 06th,13th,26th and 29th Apr 2025.  Gen Loss: -652 MWh and Revenue Loss: $ 37,807.

5. Inverters are tripped due to Ground Fault, Instantaneous fault and No Grid etc., Gen Loss: 20.13 MWh and Revenue Loss: $ 1,167.

6. As per KEPCO instructions, Korea-iceberg plant curtailment implemented on 04th & 07th  May 2025.  Gen Loss: -464 MWh and Revenue Loss: $ 26,868.

7. May-25, Inverters are tripped due to Ground Fault, Instantaneous fault and No Grid etc., Gen Loss: 11 MWh and Revenue Loss: $ 614

8. June-25, Inverters are tripped due to Ground Fault and PDP Pro., Gen Loss: 5.75 MWh and Revenue Loss: $ 333.26."
5,2025,KR_DG_ONS_00028,Korea,Korean-Sroof,"1. Samyang Foods: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 

2, Sung jin: 

a) Site is commissioned on 17th May 2025. HOTO is in process. 

B) Weather sensors are installed & configured on 29th May 2025. 

IC Approved & Expected budget for both sites considered from COD. "
6,2025,SG_DG_ONS_00055,Singapore ,SG Matco Asia,"1. Singapore Matco Asia: Due to communication failure in the data logger at the site, remote monitoring is restricted on 28th Feb 2025 due to data logger license is expired and same has been resolved on 21st Mar 2025. No generation loss due to this communication failure. 

2. New sim card has been purchased and installed in the system to resume the communication.

3. Poor weather condition in Singapore in March-2025. It was unusually rainy. 

4. As per client safety request, plant shutdown during maintenance activity in April-2025. Gen Loss: 7.3 MWh and Revenue Loss: $ 579. "
7,2025,TW1,Taiwan ,TW-Yunlin ,"1. Site Monitoring Website credential are received on 22nd April 2025. 

2. The IC approved budget has been calculated based on a DC capacity of 29.20 MWp as projected by PVsyst, whereas the actual as-built DC capacity from January 2025 to June 2025 is 24.82 MWp, thereby providing a basis for direct comparison over the same period."
8,25-Jan,KR_BW_15,Korea,Korea-Blackwood ,"Asset No.15: Fire incident happened in the month of Oct-2024 and all the inverters are damaged. Spares inverters are not available to replace.   Response, repair and restoration time is too high for OCI make inverters, they are yet to repair and restore the generation at TOP Infra Electric solar site (384KW). There is a partial discharge in the spacer after checking the transformer. Spacer will be replaced. 

"
9,25-Jan,KR_BW_26,Korea,Korea-Blackwood ,"Asset No.26: Remote monitoring portals are accessible only in Korea but Peak Energy Technical centre does not have access. E.g. Namjeong floating solar (26MW).

String level monitoring is not available to monitor string healthiness and estimate generation loss in case of breakdown. Unclassified losses are high due to string wise data are not available for 29 sites out of 47 sites in Korea-blackwood for further analysis.

Note: Unclassified losses are high due to string wise data are not available for 29 sites in Korea-blackwood for further analysis.  
"
10,25-Jan,JP-MINA,Japan ,JP Minamata,"1. Grid curtailment is a major concern for Minamata site. 25.55% of curtailment is recorded in Jan-25. It is 13.07% higher than the budgeted curtailment of 12.48%. 
     a) Grid Curtailment is set by Utility and it is uncontrollable. 

2. Module damages due to typhoon is causing generation loss, approximately 200 strings are    down due to damages.
a) To reduce the number of string failures, rearrangement of solar modules being done.
b) Rectification process initiated and is in the stage of selection of suitable solar modules to replace the existing damaged modules. 

3. Poor response & visibility of site operation from the site team. Working on to resolve the issue and improve the response. 

4. On 26th Jan, Fiber Optic Cable failure occurred from PCS5 & PCS6 to GSS. Due to this, Inv-05 & 06 were in off condition from 26th Jan to 04th Feb. 
    a) At present, the generation is resumed by connecting spare cable. Existing damaged cable need to be repaired. 
    (Generation loss: -111.17 MWh   and Revenue Loss $ 26,414). 

5. Curtailment Details: 
     a) Budgeted: 12.48% (252 MWh)
     b) Actual: 25.55% (515 MWh)
     c) Excess Curtailment: 13.07% (264 MWh)

Note: Proxy curtailment details are yet to be published for Jan-25"
